Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
West Town,24,Multifamily,Tierra Linda Apts.,1421 N. Artesian Ave.,60622,773-276-5338,LUCHA,3,,,,,
Logan Square,22,Multifamily,Zapata Apts.,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,1152977.19630528,1913047.5159342,41.9172552391,-87.7133892335,"(41.9172552391, -87.7133892335)"
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,1152271.52454631,1910359.24074225,41.9098923382,-87.7160529794,"(41.9098923382, -87.7160529794)"
Near North Side,8,Supportive,Carling Hotel,1512 N. LaSalle St.,60610,312-421-1170,Interstate Realty Management Co.,80,1174812.44592983,1910422.21333507,41.9095901427,-87.6332454838,"(41.9095901427, -87.6332454838)"
North Lawndale,29,Multifamily,Park Douglas,1256-60 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,1,1158530.36505902,1893988.19316958,41.8648427949,-87.6935089238,"(41.8648427949, -87.6935089238)"
Pullman,50,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,210,1184202.93718311,1836150.18315833,41.7055665942,-87.6010740303,"(41.7055665942, -87.6010740303)"
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.92983148,1852437.46830811,41.7505934139,-87.6547267546,"(41.7505934139, -87.6547267546)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154625.79251378,1904362.10178436,41.8933888222,-87.707565028,"(41.8933888222, -87.707565028)"
New City,61,Multifamily,Casa Hidalgo,4600 S. Wood St.,60609,312-248-8355,The Resurrection Project,10,1165081.39997643,1874156.26076116,41.8102854563,-87.6700222697,"(41.8102854563, -87.6700222697)"
West Lawn,65,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89,1145974.07363705,1859144.92352981,41.7694752347,-87.740486055,"(41.7694752347, -87.740486055)"
North Lawndale,29,Multifamily,Park Douglas,1303-15 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,1158279.0515851,1893857.02190438,41.8644879836,-87.6944350832,"(41.8644879836, -87.6944350832)"
Lower West Side,31,Multifamily,Casa Queretaro,2012 W. 17th St.,60608,312-666-1323,The Resurrection Project,45,1163154.26148667,1891768.77987539,41.8586566959,-87.6765968934,"(41.8586566959, -87.6765968934)"
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,1139471.89642909,1903210.83494725,41.8905193977,-87.7632486365,"(41.8905193977, -87.7632486365)"
West Ridge,2,Senior,Lincoln Village Senior Apts.,6057 N. Lincoln Ave.,60659,773-338-5900,Perlmark Realty Management,99,1153825.5467495,1940243.37931565,41.9918656495,-87.7095450826,"(41.9918656495, -87.7095450826)"
West Ridge,2,Senior,West Ridge Senior Apts.,6142 N. California Ave.,60659,773-381-7400,West Ridge Senior Corp.,117,1156512.51035811,1940837.41077017,41.9934415657,-87.6996454249,"(41.9934415657, -87.6996454249)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1152480.60980869,1895702.73751894,41.8696692769,-87.7156724506,"(41.8696692769, -87.7156724506)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3145 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1155134.69329312,1903119.26036969,41.8899681469,-87.7057293959,"(41.8899681469, -87.7057293959)"
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,4130 N. Kenmore Ave.,60640,773-769-3116,"Metroplex, Inc.",13,1168380.03047023,1927860.19400911,41.9575824413,-87.6563694357,"(41.9575824413, -87.6563694357)"
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,60653,773-624-4901,MLG Management,39,1182801.3254214,1873991.94765,41.8094408765,-87.6050334227,"(41.8094408765, -87.6050334227)"
Logan Square,22,ARO,MiCA,2733 W. Belden Ave.,60647,312-702-2519,2293NMA LLC,22,1157492.64258372,1915110.09376637,41.922824344,-87.6967431262,"(41.922824344, -87.6967431262)"
West Town,24,ARO,East Village Lofts,1100 N. Ashland Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,1,1165486.10482463,1907421.22424563,41.9015589973,-87.667591842,"(41.9015589973, -87.667591842)"
Logan Square,22,Multifamily,Tierra Linda Apts.,3572 W. Palmer St.,60647,773-276-5338,LUCHA,3,,,,,
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1176805.95135337,1881719.10781436,41.8307821806,-87.6267901762,"(41.8307821806, -87.6267901762)"
Woodlawn,42,Multifamily,65th Street Apts.,6400 S. Maryland Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",15,1182961.60842189,1862758.25525382,41.7786109444,-87.6047947203,"(41.7786109444, -87.6047947203)"
Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development,3,1138569.74244338,1918921.6328086,41.9336480472,-87.7661803002,"(41.9336480472, -87.7661803002)"
Oakland,36,Multifamily,Oakwood Shores Senior Apts.,3750 S. Cottage Grove Ave.,60653,773-373-1300,The Community Builders,76,1181862.3293714,1880153.55134302,41.8263705668,-87.6082867641,"(41.8263705668, -87.6082867641)"
Oakland,36,Multifamily,Lakefront Phase II,1125 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184432.11524197,1877384.38157709,41.8187118792,-87.5989457091,"(41.8187118792, -87.5989457091)"
Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104th St.,60628,773-468-1901,Mercy Housing,10,1178767.71266187,1835996.43290175,41.7052697846,-87.6209818377,"(41.7052697846, -87.6209818377)"
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176967.11972168,1879322.16764571,41.8242011421,-87.6262712265,"(41.8242011421, -87.6262712265)"
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.17355757,1914216.38283983,41.9207910105,-87.7774775508,"(41.9207910105, -87.7774775508)"
North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,60613,312-337-5339,Holsten Management Corp.,170,1151024.34171912,1899855.05640512,41.8810923305,-87.7209100899,"(41.8810923305, -87.7209100899)"
West Town,24,Multifamily,Paseo Boricua Apts.,1154 N. Campbell St.,60622,312-602-6500,Hispanic Housing Dev. Corp.,61,1159482.29255128,1907856.10472627,41.902878079,-87.6896325219,"(41.902878079, -87.6896325219)"
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,1153978.22884647,1900741.03511514,41.8834651917,-87.7100399091,"(41.8834651917, -87.7100399091)"
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,1139038.20773836,1898825.97446503,41.8784946733,-87.7649480305,"(41.8784946733, -87.7649480305)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1808-10 N. Kedzie Ave.,60647,773-276-5338,LUCHA,3,,,,,
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,71,1166121.34522665,1862956.68606977,41.779530386,-87.6665265092,"(41.779530386, -87.6665265092)"
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,1154880.60347614,1904286.63927462,41.8931766425,-87.7066312185,"(41.8931766425, -87.7066312185)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apts.,27,1153649.60311098,1903659.52038047,41.891480351,-87.7111689514,"(41.891480351, -87.7111689514)"
Uptown,3,Multifamily,850 Eastwood,850 W. Eastwood Ave.,60640,773-275-6877,Mercy Housing,69,1169619.11318854,1931130.18592414,41.9665284532,-87.6517185639,"(41.9665284532, -87.6517185639)"
Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,85,1178127.35787278,1868790.59534751,41.7952753031,-87.6223343775,"(41.7952753031, -87.6223343775)"
Lower West Side,31,Multifamily,Casa Tabasco,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,45,1168646.29658184,1890365.99095515,41.8546902787,-87.6564782084,"(41.8546902787, -87.6564782084)"
Lakeview,6,ARO,Viridian on Sheridan,734 W. Sheridan Rd.,60613,847-250-4900,rmk Management,2,1170305.66180762,1926158.03105325,41.9528696876,-87.6493401794,"(41.9528696876, -87.6493401794)"
Loop,32,Multifamily,Randolph Tower City Apts. (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,1174747.57210376,1901307.25243196,41.884579663,-87.6337568335,"(41.884579663, -87.6337568335)"
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,1140544.65155185,1904774.78125207,41.8947914314,-87.7592704828,"(41.8947914314, -87.7592704828)"
Woodlawn,42,Senior,Butler Apts.,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. Corp.,17,1186094.25881798,1864312.84273055,41.7828034603,-87.5932613147,"(41.7828034603, -87.5932613147)"
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,1176529.6000626,1880409.30941706,41.8271942191,-87.6278435793,"(41.8271942191, -87.6278435793)"
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,1180131.92552507,1873998.51950452,41.8095205688,-87.614824016,"(41.8095205688, -87.614824016)"
North Park,13,Senior,North Park Village Apts.,5801 N. Pulaski Road,60646,773-478-6890,Elderly Housing Devp. & Operations Corp.,137,1148723.50103629,1938044.23656645,41.9859315142,-87.72836921,"(41.9859315142, -87.72836921)"
Woodlawn,42,Multifamily,65th Street Apts.,6522 S. Ingleside Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",18,1183642.02930266,1861850.34405471,41.7761037074,-87.6023285746,"(41.7761037074, -87.6023285746)"
South Deering,51,Senior,Porta Coeli Residence,2260 E. 99th St.,60617,773-374-2470,Catholic Charities,86,1193007.252136,1839809.5249601,41.7153982408,-87.5687149518,"(41.7153982408, -87.5687149518)"
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites),4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,1183149.45516709,1874094.4100914,41.8097139386,-87.6037533683,"(41.8097139386, -87.6037533683)"
Near West Side,28,Multifamily,Westhaven Park Phase IIB,110 N. Wood St.,60612,312-491-1114,Interstate Realty Management Co.,176,1164349.32531246,1900851.12015089,41.8835542602,-87.6719533672,"(41.8835542602, -87.6719533672)"
Oakland,36,Multifamily,Lake Park Crescent,1061 E. 41st Place,60653,773-268-0200,"Draper and Kramer, Inc.",32,1184161.7757877,1877771.78885836,41.8197812878,-87.5999252673,"(41.8197812878, -87.5999252673)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,1152413.69277322,1896087.18056577,41.8707255523,-87.7159079717,"(41.8707255523, -87.7159079717)"
Roseland,49,Multifamily,Roseland Ridge Apts.,10513 S. Michigan Ave.,60628,773-341-3158,NHS Redevelopment Corp.,51,1178893.69861194,1835198.53356157,41.7030773785,-87.6205446771,"(41.7030773785, -87.6205446771)"
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,1129403.74488697,1864822.91189786,41.7853541249,-87.8010979955,"(41.7853541249, -87.8010979955)"
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,42,1156574.00873721,1894894.5102467,41.8673696101,-87.7006662254,"(41.8673696101, -87.7006662254)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.4089095,1886029.52776082,41.8427291512,-87.6462472701,"(41.8427291512, -87.6462472701)"
Near North Side,8,Multifamily,Clybourn 1200,1200 N. Clybourn Ave.,60622,312-477-7442,Interstate Realty Management Co.,52,1173039.7455326,1908293.94552508,41.9037895847,-87.6398207738,"(41.9037895847, -87.6398207738)"
Lincoln Square,4,ARO,The Westner,4618 N. Western Ave.,60625,773-975-7234,Kass Management,2,1159495.40689585,1930676.17560086,41.9654975932,-87.6889543312,"(41.9654975932, -87.6889543312)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1812 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,,,,
South Chicago,46,Senior,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living,60,1199523.08542014,1844538.45637883,41.7282135464,-87.5446927939,"(41.7282135464, -87.5446927939)"
West Garfield Park,26,Supportive Housing,The Rebecca Johnson Apts.,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52,1157527.97541372,1898606.33636721,41.8775358858,-87.6970630483,"(41.8775358858, -87.6970630483)"
Near North Side,8,Multifamily,North Town Village II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,1170813.06191015,1908876.86190342,41.9054382467,-87.6479827434,"(41.9054382467, -87.6479827434)"
North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,60623,773-762-3389,Lawndale Christian Residential Svcs.,26,1150056.06296146,1890463.50315966,41.8553397217,-87.7247100763,"(41.8553397217, -87.7247100763)"
Grand Boulevard,38,Multifamily,Rosenwald Courts Apts.,4642 S. Michigan Ave.,60653,773-819-2267,Mercy Housing,239,1177902.20501091,1874091.16115677,41.809825649,-87.6229993768,"(41.809825649, -87.6229993768)"
Near West Side,28,Supportive,Lake Street Studios,727 W. Lake St.,60661,312-274-8200,Interfaith Housing Corp.,61,1171177.97410367,1901637.39545107,41.885564701,-87.6468550832,"(41.885564701, -87.6468550832)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apts.,6,1152648.97806034,1903805.8046822,41.8919016207,-87.714839929,"(41.8919016207, -87.714839929)"
Uptown,3,ARO,4801 N. Ravenswood Ave.,4801 N. Ravenswood Ave.,60640,773-929-7050,Hayes Properties Inc.,4,1163544.41432323,1931973.68843896,41.9689734978,-87.6740303236,"(41.9689734978, -87.6740303236)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,1179638.24834182,1877940.68309984,41.8203495003,-87.6165141095,"(41.8203495003, -87.6165141095)"
Uptown,3,ARO,Upshore Chapter,4555 N. Sheridan Road,60640,312.229.6446,33 Realty,7,,,,,
Hyde Park,41,ARO,5432-44 S. Woodlawn,5432 S. Woodlawn Ave.,60615,312-480-0933,Chicago Apartment Finders,10,1185102.56133472,1869464.41313419,41.7969631559,-87.5967353133,"(41.7969631559, -87.5967353133)"
West Town,24,ARO,1611 West Division,1611 W. Division St.,60622,773-661-5500,M. Fishman & Co.,10,1165376.18806269,1908029.50476035,41.9032305014,-87.667978248,"(41.9032305014, -87.667978248)"
North Lawndale,29,Multifamily,Park Douglas,2652 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,4,1158622.39846527,1894325.45819992,41.8657664016,-87.6931618352,"(41.8657664016, -87.6931618352)"
East Garfield Park,27,Multifamily,Liberty Square Apts.,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1151407.46142205,1896705.239794,41.8724413776,-87.7195859945,"(41.8724413776, -87.7195859945)"
Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,60616,312-326-5200,East Lake Management Co.,96,1177086.69778324,1891564.72019444,41.857792921,-87.6254623688,"(41.857792921, -87.6254623688)"
Oakland,36,Multifamily,Lakefront Phase II,1106 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184320.23695784,1877174.69935557,41.8181391197,-87.5993626833,"(41.8181391197, -87.5993626833)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3500 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152924.34344808,1903817.94850233,41.8919294934,-87.7138283059,"(41.8919294934, -87.7138283059)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1318,1456 N. Rockwell Ave.",60622,773-276-5338,LUCHA,24,1158786.70432399,1908791.0712498,41.905457998,-87.6921618816,"(41.905457998, -87.6921618816)"
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,110,1178081.87526608,1876584.15614825,41.816662565,-87.6222647175,"(41.816662565, -87.6222647175)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,614 N. Spaulding Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154224.5417618,1903987.91967607,41.8923700513,-87.7090486845,"(41.8923700513, -87.7090486845)"
Woodlawn,42,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,33,1186141.36609384,1862376.5606601,41.7774890264,-87.5931497136,"(41.7774890264, -87.5931497136)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.52454631,1910359.24074225,41.9098923382,-87.7160529794,"(41.9098923382, -87.7160529794)"
Near West Side,28,ARO,Milieu Apts.,205 S. Peoria St.,60607,312-983-7152,White Oak Realty Partners,7,,,,,
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,1156898.51394538,1929148.46097262,41.9613586525,-87.6985441744,"(41.9613586525, -87.6985441744)"
North Lawndale,29,65+/Supportive,Montclare Sr. Residences SLF of Lawndale,4339-47 W. 18th Pl,60623,773-277-0288,Montclare Supportive Living,120,1147554.65735596,1890603.26432132,41.8557715313,-87.7338879,"(41.8557715313, -87.7338879)"
Rogers Park,1,Senior,Morse Senior Apts.,6928 N. Wayne Ave.,60626,312-602-6207,Morse Urban Dev.,44,1165843.89836178,1946058.5134415,42.0075737709,-87.6651711448,"(42.0075737709, -87.6651711448)"
Englewood,68,Supportive/Veterans,Hope Manor II Apts.,6002 S. Halsted St.,60621,773-874-3610,Voluinteers of America Illinois,73,1171959.56514578,1864993.89431384,41.7849944939,-87.6450631449,"(41.7849944939, -87.6450631449)"
Montclare,18,ARO,2931-57 N. Harlem LLC,2931-57 N. Harlem Ave.,60707,708-867-3799,Zitella Development,5,1127615.0334749,1918797.88631997,41.9335002731,-87.8064419298,"(41.9335002731, -87.8064419298)"
Oakland,36,Multifamily,Lakefront Phase II,1140 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184665.37978163,1877176.16214584,41.8181350367,-87.598096559,"(41.8181350367, -87.598096559)"
Near West Side,28,Multifamily,Newberry Park Apts.,1355 S. Blue Island Ave.,60608,312-563-0099,AIMCO,124,1168817.27786868,1893757.8411594,41.8639940988,-87.6557523872,"(41.8639940988, -87.6557523872)"
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,1170460.90053702,1852465.79546195,41.7506486193,-87.6509223206,"(41.7506486193, -87.6509223206)"
North Center,5,Senior,North Center Senior Apts.,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60,1160064.90058082,1926543.18083148,41.9541446663,-87.6869750499,"(41.9541446663, -87.6869750499)"
East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1154287.33921223,1900828.12983435,41.8836980221,-87.7089025002,"(41.8836980221, -87.7089025002)"
West Pullman,53,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,90,1173523.53624852,1824810.06263597,41.6746900779,-87.6405148423,"(41.6746900779, -87.6405148423)"
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apts.,18,1154584.66294305,1907840.06106964,41.9029334898,-87.7076229238,"(41.9029334898, -87.7076229238)"
North Lawndale,29,Multifamily,Park Douglas,1313-15 S. Fairfiled Ave.,60608,773-893-4800,Interstate Realty Management Co.,4,1158281.77714212,1893762.462565,41.8642284474,-87.694427661,"(41.8642284474, -87.694427661)"
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1178406.43677283,1871882.89557239,41.8037545212,-87.6212170565,"(41.8037545212, -87.6212170565)"
Lower West Side,31,Multifamily,Resurrection Homes,2124 W. 19th St.,60608,312-666-1323,The Resurrection Project,5,1162389.31265717,1890761.08852357,41.8559075141,-87.6794329233,"(41.8559075141, -87.6794329233)"
West Pullman,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1178389.49623181,1827364.13595576,41.6815900986,-87.6226276337,"(41.6815900986, -87.6226276337)"
Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,60605,312-913-9333,Senior Lifestyle Corp.,276,1177842.09367839,1893842.68024195,41.8640266649,-87.622620427,"(41.8640266649, -87.622620427)"
Washington Park,40,Senior,St. Edmund's Tower Annex,6151 S. Michigan Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,34,1178260.93110499,1864074.92036189,41.7823319979,-87.6219876398,"(41.7823319979, -87.6219876398)"
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Townhomes,87,1178382.51340629,1875605.78401452,41.8139709971,-87.6211916565,"(41.8139709971, -87.6211916565)"
Uptown,3,Supportive Housing,Major Jenkins Apts.,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,96,1167919.61523849,1933730.43801711,41.9737005572,-87.6578919355,"(41.9737005572, -87.6578919355)"
Oakland,36,Multifamily,Lakefront Phase II,1128 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184422.55249004,1877469.62876748,41.8189460276,-87.5989781156,"(41.8189460276, -87.5989781156)"
North Lawndale,29,Supportive/Youth/Kinship Families,Sankofa House,4041 W. Roosevelt Road,60624,773-257-8800,Interfaith Housing Corp.,32,1149479.82296279,1894358.78141787,41.8660400256,-87.7267241437,"(41.8660400256, -87.7267241437)"
Uptown,3,ARO,Saxony Wilson,1630 W. Wilson Ave.,60640,312-243-5353,Malet Realty,2,,,,,
Belmont Cragin,19,Senior,Cicero & George Elderly Apts.,4800 W. George St.,60641,312-291-5420,Hispanic Housing Dev. Corp.,70,1143845.6241982,1918889.67055813,41.9334629306,-87.7467922468,"(41.9334629306, -87.7467922468)"
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,1176708.76672844,1881091.47870277,41.8290621083,-87.6271656778,"(41.8290621083, -87.6271656778)"
Lakeview,6,ARO,The Bel,941 W. Belmont Ave.,60657,773-327-6146,33 Realty,4,,,,,
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Talman Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,24,1158416.97324626,1910568.8103786,41.9103438337,-87.6934713169,"(41.9103438337, -87.6934713169)"
Oakland,36,Multifamily,Lakefront Phase II,4143 S. Lake Park Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184153.69939648,1877418.81262803,41.8188128856,-87.5999659461,"(41.8188128856, -87.5999659461)"
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1173046.57462975,1864479.46972384,41.7835589092,-87.6410928975,"(41.7835589092, -87.6410928975)"
Woodlawn,42,Multifamily,Strand Hotel,6321 S. Cottage Grove Ave.,60637,312-274-9169,Holsten Real Estate Dev. Corp.,63,1182692.1634323,1863173.72934185,41.7797573036,-87.6057696255,"(41.7797573036, -87.6057696255)"
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,1165132.94269897,1890827.82707157,41.8560328733,-87.6693605655,"(41.8560328733, -87.6693605655)"
West Town,24,ARO,Wicker Park Connection,1640 W. Division St.,60647,312-330-3210,rmk Management,20,,,,,
